"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"c3ce87d9-137d-4f24-88d7-4b253946ed09";"Nederlanders in Parijs";"Ontdek welke aantrekkingskracht de Franse hoofdstad had op Nederlandse kunstenaars in de 19e eeuw: George Breitner, Vincent van Gogh, Piet Mondriaan. Te zien van 13 oktober tot en met 7 januari 2018. ";"";"Vr 13 oktober 2017 t/m zo 7 januari 2018 ma-zo: geopend.";"Nederlanders in Parijs";"";"<h2></h2>";"Fr 13 October 2017 including Su 7 January 2018 Mo -Su: Open.";"";"2.3.14";"Van Gogh Museum";"AMSTERDAM";"Museumplein 6";"1071 DJ";"52,3564290";"4,8798010";"http://www.vangoghmuseum.nl/";"https://media.iamsterdam.com/ndtrc/Images/c3/c3ce87d9-137d-4f24-88d7-4b253946ed09/6bd1a145-46a6-4494-9c71-5e6ee18aa584.jpg,https://media.iamsterdam.com/ndtrc/Images/c3/c3ce87d9-137d-4f24-88d7-4b253946ed09/8684b932-6b47-4d66-aba5-88e9a39272f0.jpg";"https://media.iamsterdam.com/ndtrc/Images/c3/c3ce87d9-137d-4f24-88d7-4b253946ed09/6bd1a145-46a6-4494-9c71-5e6ee18aa584.jpg";"13-10-2017";"07-01-2018";"";"";"2017-02-13 11:24:15";
"d461b591-684a-453c-b7b9-241048fe7a25";"Van Gogh & Japan";"Van Gogh gebruikte Japanse prenten om zijn eigen werk een nieuwe richting te geven. Ontdek hoe Van Gogh het Japanse voorbeeld naar zijn eigen hand zette. Te zien van 23 maart tot en met 24 juni 2018, in het Van Gogh Museum in Amsterdam. ";"";"Vr 23 maart 2018 t/m zo 24 juni 2018 ma-zo: geopend.";"Van Gogh & Japan";"";"<h2></h2>";"Fr 23 March 2018 including Su 24 June 2018 Mo -Su: Open.";"";"2.3.14";"Van Gogh Museum";"AMSTERDAM";"Museumplein 6";"1071 DJ";"52,3564290";"4,8798010";"http://www.vangoghmuseum.nl/";"https://media.iamsterdam.com/ndtrc/Images/d4/d461b591-684a-453c-b7b9-241048fe7a25/24edc9c9-ec86-4da9-a671-deeae6380e79.jpg,https://media.iamsterdam.com/ndtrc/Images/d4/d461b591-684a-453c-b7b9-241048fe7a25/b4c32e1f-e2d2-456c-8ef9-1f37cdbee2a5.jpg";"https://media.iamsterdam.com/ndtrc/Images/d4/d461b591-684a-453c-b7b9-241048fe7a25/24edc9c9-ec86-4da9-a671-deeae6380e79.jpg";"23-03-2018";"24-06-2018";"";"";"2017-02-13 11:30:08";
"ecc8692a-6284-4d9e-9ed8-28092d2aa5fc";"Madame Tussauds Amsterdam - Vaste collectie";"Kom oog in oog te staan met het koningspaar koning Willem-Alexander en koningin M�xima. Ontmoet jouw favoriete muziekhelden uit heden en verleden. Sta naast ?s werelds bekendste deejays van Nederlandse bodem: dj Ti�sto, Armin van Buuren en Afrojack. ";"<h1></h1> Voor meer informatie, ga naar <a href=&quot:https://www2.madametussauds.com/amsterdam&quot: target=&quot:blank&quot:>Madame Tussauds Amsterdam</a>.";"Do 1 januari 2015 t/m zo 31 december 2017 ma-zo: geopend.";"Madame Tussauds Amsterdam - Permanent Collection";"";"<h2></h2> Find out more about visiting <a href=&quot:http://www.iamsterdam.com/en/visiting/what-to-do/attractions-and-sights/overview-of-attractions/madame-tussauds-amsterdam&quot:>Madame Tussauds Amsterdam</a>.";"Th 1 January 2015 including Su 31 December 2017 Mo -Su: Open.";"";"2.3.14";"Madame Tussauds Amsterdam";"AMSTERDAM";"Dam 20";"1012 NP";"52,3727370";"4,8927440";"http://www.madametussauds.com/Amsterdam";"https://media.iamsterdam.com/ndtrc/Images/ec/ecc8692a-6284-4d9e-9ed8-28092d2aa5fc/65ddae24-e770-4ea1-a146-1f12deb49b60.jpg,https://media.iamsterdam.com/ndtrc/Images/ec/ecc8692a-6284-4d9e-9ed8-28092d2aa5fc/a61008f3-5149-426a-9522-059ab32ad3ac.jpg,https://media.iamsterdam.com/ndtrc/Images/ec/ecc8692a-6284-4d9e-9ed8-28092d2aa5fc/92766266-d3bb-4bc7-816b-8dae47be8c31.jpg,https://media.iamsterdam.com/ndtrc/Images/ec/ecc8692a-6284-4d9e-9ed8-28092d2aa5fc/f9cc22ca-3d46-4357-a48a-6e50684283aa.jpg,https://media.iamsterdam.com/ndtrc/Images/ec/ecc8692a-6284-4d9e-9ed8-28092d2aa5fc/7010aba9-170f-4f6d-9f47-a640ff214ee7.jpg";"https://media.iamsterdam.com/ndtrc/Images/ec/ecc8692a-6284-4d9e-9ed8-28092d2aa5fc/65ddae24-e770-4ea1-a146-1f12deb49b60.jpg";"01-01-2015";"31-12-2017";"";"";"2017-04-26 14:51:27";
"34326c80-4320-43cd-81cd-c1d1e045f3e9";"Kijk Amsterdam 1700-1800";"Tijdens deze tentoonstelling worden de mooiste tekeningen uit de 18e eeuw gepresenteerd. Een stad waar wordt gehandeld en gewandeld, koetsen en karren ratelen over de keien en schuiten die worden volgeladen. van 15 september 2017 t/m 14 januari 2018 in het Stadsarchief Amsterdam.";"";"Meerdere data: Vanaf vr 15 september 2017 t/m di 9 januari 2018.";"Kijk Amsterdam 1700-1800";"";"";"Multiple data: from Fr 15 September 2017 to Tu 9 January 2018.";"";"2.3.14";"Stadsarchief Amsterdam - De Bazel";"AMSTERDAM";"Vijzelstraat 32";"1017 HL";"52,3626140";"4,8918030";"https://www.amsterdam.nl/stadsarchief/";"https://media.iamsterdam.com/ndtrc/Images/34/34326c80-4320-43cd-81cd-c1d1e045f3e9/0db8e0e0-eff6-44bf-b337-990d7ebfa163.jpg,https://media.iamsterdam.com/ndtrc/Images/34/34326c80-4320-43cd-81cd-c1d1e045f3e9/af3eaee9-3598-4c23-ad49-1120a2790cfd.jpg";"https://media.iamsterdam.com/ndtrc/Images/34/34326c80-4320-43cd-81cd-c1d1e045f3e9/0db8e0e0-eff6-44bf-b337-990d7ebfa163.jpg";"";"";"15-09-2017,16-09-2017,17-09-2017,19-09-2017,20-09-2017,21-09-2017,22-09-2017,23-09-2017,24-09-2017,26-09-2017,27-09-2017,28-09-2017,29-09-2017,30-09-2017,01-10-2017,03-10-2017,04-10-2017,05-10-2017,06-10-2017,07-10-2017,08-10-2017,10-10-2017,11-10-2017,12-10-2017,13-10-2017,14-10-2017,15-10-2017,17-10-2017,18-10-2017,19-10-2017,20-10-2017,21-10-2017,22-10-2017,24-10-2017,25-10-2017,26-10-2017,27-10-2017,28-10-2017,29-10-2017,31-10-2017,01-11-2017,02-11-2017,03-11-2017,04-11-2017,05-11-2017,07-11-2017,08-11-2017,09-11-2017,10-11-2017,11-11-2017,12-11-2017,14-11-2017,15-11-2017,16-11-2017,17-11-2017,18-11-2017,19-11-2017,21-11-2017,22-11-2017,23-11-2017,24-11-2017,25-11-2017,26-11-2017,28-11-2017,29-11-2017,30-11-2017,01-12-2017,02-12-2017,03-12-2017,05-12-2017,06-12-2017,07-12-2017,08-12-2017,09-12-2017,10-12-2017,12-12-2017,13-12-2017,14-12-2017,15-12-2017,16-12-2017,17-12-2017,19-12-2017,20-12-2017,21-12-2017,22-12-2017,23-12-2017,24-12-2017,26-12-2017,27-12-2017,28-12-2017,29-12-2017,30-12-2017,31-12-2017,02-01-2018,03-01-2018,04-01-2018,05-01-2018,06-01-2018,07-01-2018,09-01-2018";"";"2017-06-07 15:41:19";
"cbe0a742-2470-4146-a4fb-621d7386a042";"Body Worlds Amsterdam";"Hoe be�nvloedt geluk ons lichaam en onze gezondheid? Ontdek de antwoorden bij BODY WORLDS Amsterdam: The Happiness Project.";"<h2>Body Worlds Amsterdam</h2> Deze fascinerende tentoonstelling van Gunther von Hagens, met meer dan 200 anatomische preparaten van echte menselijke lichamen, toont ons de complexiteit, de veerkracht en de kwetsbaarheid van het menselijk lichaam. Wereldwijd hebben de tentoonstellingen van BODY WORLDS over het menselijk lichaam meer dan 40 miljoen bezoekers getrokken. <br /> <br /> De zoektocht naar liefde en geluk domineert ons leven, maar wat bepaalt of we gelukkig zijn of niet? Het anatomiemuseum BODY WORLDS: de Happiness Project in hartje Amsterdam neemt de bezoekers mee op een spannende ontdekkingsreis door het menselijk lichaam, op zoek naar wat ons gelukkig maakt en de impact van het geluk op onze gezondheid. Volgens pers en bezoekers een absolute must-see attractie in Amsterdam.<br /> <br /> Bezoek<a href=&quot:https://www.bodyworlds.nl/nl/plan-je-bezoek/openingstijden&quot: target=&quot:_blank&quot:> de website link</a> voor actuele informatie m.b.t. openingstijden&nbsp:";"Ma 5 september 2016 t/m zo 31 december 2017 di: geopend.";"Body Worlds Amsterdam";"How does happiness influence our body and health? Find out the answers at BODY WORLDS Amsterdam: The Happiness Project. ";"<h2>Body Worlds Amsterdam</h2> How does happiness influence our body and health? Find out the answers at BODY WORLDS: The Happiness Project. This fascinating exhibition by Gunther von Hagens, featuring more than 200 anatomical specimens of real human bodies, shows us the complexity, resilience and vulnerability of the human body. Worldwide, the BODY WORLDS exhibitions on the human body have drawn more than 40 million visitors. Don&rsquo:t miss this fantastic exhibition! The quest for love and happiness dominates our lives, but what defines whether we are happy or not? The anatomy museum BODY WORLDS: The Happiness Project in the heart of Amsterdam takes visitors on a thrilling voyage of discovery through the human body, in search of what makes us happy and the impact of happiness on our health.<br /> <br /> <em>Click on  <a href=&quot:https://www.bodyworlds.nl/en/plan-your-visit/visitor-information&quot:>the website link</a> for current information regarding the opening times.</em>";"Mo 5 September 2016 including Su 31 December 2017 Tu : Open.";"";"2.3.14";"Body Worlds Amsterdam";"AMSTERDAM";"Damrak 66";"1012 LM";"52,3748000";"4,8948100";"https://www.bodyworlds.nl/nl";"https://media.iamsterdam.com/ndtrc/Images/cb/cbe0a742-2470-4146-a4fb-621d7386a042/cfa76a21-1715-44a6-9f29-67acbbb69e6e.jpg,https://media.iamsterdam.com/ndtrc/Images/cb/cbe0a742-2470-4146-a4fb-621d7386a042/14bffc5d-e0f4-4d33-b21d-f4ea0dae98cc.jpg";"https://media.iamsterdam.com/ndtrc/Images/cb/cbe0a742-2470-4146-a4fb-621d7386a042/cfa76a21-1715-44a6-9f29-67acbbb69e6e.jpg";"05-09-2016";"31-12-2017";"";"";"2017-06-12 13:00:14";
"0e3c6cc0-23aa-47c0-8ba1-5dd297ac077d";"Andr� Kert�sz-Mirroring Life";"Andr� Kert�sz is bekend om zijn buitengewone bijdrage aan de beeldtaal van fotografie in de 20ste eeuw. Het retrospectief, geeft inzicht in zijn uitzonderlijke en creatieve vermogen om aan de hand van ongebruikelijke composities een (nieuwe)werkelijkheid te cre�ren. De meeste beelden zijn zwart-wit fotoafdrukken en een kleine selectie kleurenfoto?s .";"<h2>Overzicht van zijn werk</h2> De tentoonstelling geeft inzicht in zijn creatieve vermogen om aan de hand van ongebruikelijke composities een nieuw zicht op de werkelijkheid te cre&euml:ren. Het is een eerbetoon aan de fotograaf die door Henri Cartier-Bresson als &eacute:&eacute:n van zijn leermeesters werd beschouwd. Meer weten over deze tentoonstelling bezoek <a href=&quot:http://www.foam.org/nl/museum/programma/andre-kertesz&quot: target=&quot:_blank&quot:>de website </a>van FOAM.";"Vr 15 september 2017 t/m wo 6 december 2017 ma-wo: 10:00 - 18:00 uur, do, vr: 10:00 - 21:00 uur, za, zo: 10:00 - 18:00 uur.";"Andr� Kert�sz-Mirroring Life";"";"";"Fr 15 September 2017 including We 6 December 2017 Mo -We : 10:00 - 18:00 hour, Th , Fr : 10:00 - 21:00 hour, Sa , Su: 10:00 - 18:00 hour.";"";"2.3.14";"Foam Fotografiemuseum Amsterdam";"AMSTERDAM";"Keizersgracht 609";"1017 DS";"52,3639570";"4,8932940";"http://www.foam.org/nl/museum/programma/andre-kertesz";"https://media.ndtrc.nl/Images/0e/0e3c6cc0-23aa-47c0-8ba1-5dd297ac077d/a09b6f65-650e-41e2-abec-978d02958c21.jpg";"https://media.ndtrc.nl/Images/0e/0e3c6cc0-23aa-47c0-8ba1-5dd297ac077d/a09b6f65-650e-41e2-abec-978d02958c21.jpg";"15-09-2017";"06-12-2017";"";"";"2017-07-05 14:12:38";
"8d28e34f-c1de-4878-8b93-78f2c8bd5b20";"Ans Markus &quot:Als ik jou was&quot:";"Op aangrijpende wijze onderzoekt Markus de schaduwkanten van het leven.o.a. de recente schilderijenseries ?verborgen verdriet? en ?de pijn van oud?. Een reeks jeugdportretten van o.a. Frida Kahlo, Modigliani,e.a. waarmee zij uiting geeft aan haar bewondering voor door haar gerespecteerde voorgangers.  Te zien vanaf  3 oktober 2017 tot en met 7 januari 2018 in Museum Jan van der Togt in Amstelveen.  ";"<h2>Alle creatieve uitingen op een plek te bewonderen</h2> Er een ruime selectie vroeger werk zoals de schetsen, tekeningen en kleinere schilderijen, alsook sculpturen in brons en porselein die Markus sinds enige jaren maakt. De kunst van Ans Markus vormt een persoonlijke mythologie, die een eigen denk-, ervarings- en gevoelswereld omvat. Een sterke betrokkenheid bij haar medemensen is typerend voor haar en dat is terug te zien in haar werk. De titel van de tentoonstelling &ndash: &ldquo: Als ik jou was ... &ldquo:&ndash: kun je dan ook letterlijk opvatten. Haar tekeningen, schilderijen, maar de sculpturen in brons en porselein zijn het resultaat van een grondig zelfonderzoek, waarmee zij een stem geeft aan breed levende gevoelens, in het bijzonder bij vrouwen. Meer weten over deze tentoonstelling bezoek dan <a href=&quot:http://www.jvdtogt.nl/&quot: target=&quot:_blank&quot:>de website van het musuem Jan vd Togt.</a>";"Di 3 oktober 2017 t/m zo 7 januari 2018 ma-zo: geopend.";"Ans Markus &quot:Als ik jou was&quot:";"";"<br /> <h2></h2>";"Tu 3 October 2017 including Su 7 January 2018 Mo -Su: Open.";"";"2.3.14";"Museum Jan van der Togt";"AMSTELVEEN";"Dorpsstraat";"1182 JE";"52,3021410";"4,8464160";"http://www.jvdtogt.nl";"https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/41ce58e4-8d88-45f1-b86f-21965dc0e572.jpg,https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/b0283a19-5ecf-4785-8c26-0484f667dabb.jpg,https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/b0c83f4a-b648-4e78-9212-906bacd5c99a.jpg,https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/d17e4170-4775-436a-b5f6-28ba621d792b.jpg,https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/43f65aff-dd18-4d5b-809f-e76c1b710d68.jpg,https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/d3ef90b9-6acd-4e09-bbc0-ee461a6c0631.jpg";"https://media.ndtrc.nl/Images/8d/8d28e34f-c1de-4878-8b93-78f2c8bd5b20/41ce58e4-8d88-45f1-b86f-21965dc0e572.jpg";"03-10-2017";"07-01-2018";"";"";"2017-07-17 10:49:43";
"e1c78a87-1af3-4a08-adfd-374796fef973";"Edward Krasinski";"Een van de belangrijkste kunstenaars uit Oost-Europa en hoofdrolspeler van de Poolse avant-garde van de jaren 60 en 70: Edward Krasinski (1925 - 2004).  Allereerste retrospectief in Nederland van Krasinski's ruim 40 jaar omvattende oeuvre van dynamische sculpturen en installaties. Te zien van 24 juni tot en met 15 oktober 2017, in het Stedelijk Museum in Amsterdam.";"";"Za 24 juni 2017 t/m zo 15 oktober 2017 ma-zo: geopend.";"Edward Krasinski";"The Stedelijk Museum in Amsterdam celebrates the achievements of Polish artist Edward Krasinski with a full retrospective. This exhibition comprised of sculptures, installations and paintings demonstrates his position as one of the most innovative artists of Eastern Europe. ";"<h2>Pioneering Polish artist <o:p></o:p></h2> <p class=&quot:MsoNormal&quot:>Edward Krasinski was inspired by the art movements like Dada and Polish Constructivism. His experimental approach led to works that were inspiring, unique and often infused with witty irony. The Stedelijk Museum hosts a retrospective of his work curated by the Tate Liverpool. <o:p></o:p> </p> <p><a href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/exhibitions&quot:>Be inspired by other contemporary art exhibitions in Amsterdam</a> </p> <h2></h2>";"Sa 24 June 2017 including Su 15 October 2017 Mo -Su: Open.";"";"2.3.14";"Stedelijk Museum";"AMSTERDAM";"Museumplein 10";"1071 DJ";"52,3564290";"4,8798010";"http://www.stedelijk.nl/";"https://media.ndtrc.nl/Images/e1/e1c78a87-1af3-4a08-adfd-374796fef973/cd556613-2f37-49aa-8610-fda0164a1f20.jpg,https://media.ndtrc.nl/Images/e1/e1c78a87-1af3-4a08-adfd-374796fef973/9bba89a2-836f-4a28-bd00-5e214ff76a87.jpg";"https://media.ndtrc.nl/Images/e1/e1c78a87-1af3-4a08-adfd-374796fef973/cd556613-2f37-49aa-8610-fda0164a1f20.jpg";"24-06-2017";"15-10-2017";"";"";"2017-07-19 15:03:12";
"503ed535-18db-4562-a504-aa72e0730d7e";"Crossroads - Reizen door de Middeleeuwen";"Van 15 september 2017 t/m 11 februari 2018 is er in het Allard Pierson Museum in Amsterdam de tentoonstelling 'Crossroads - Reizen door de Middeleeuwen' te zien. Hier wordt meer vertelt over Europa in de Middeleeuwen, ook wel 'The Dark Ages' genoemd. Ervaar zelf hoe onderlinge contacten ontstonden in deze tijd. ";"";"Vr 15 september 2017 t/m zo 11 februari 2018 di-zo: geopend.";"Crossroads - Reizen door de Middeleeuwen";"";"";"Fr 15 September 2017 including Su 11 February 2018 Tu -Su: Open.";"";"2.3.14";"Allard Pierson Museum";"AMSTERDAM";"Oude Turfmarkt 127";"1012 GC";"52,3685000";"4,8930710";"http://www.allardpiersonmuseum.nl/";"https://media.ndtrc.nl/Images/50/503ed535-18db-4562-a504-aa72e0730d7e/66433c3f-416a-4c4e-8cf0-0d3b980f175b.jpg";"https://media.ndtrc.nl/Images/50/503ed535-18db-4562-a504-aa72e0730d7e/66433c3f-416a-4c4e-8cf0-0d3b980f175b.jpg";"15-09-2017";"11-02-2018";"";"";"2017-07-20 09:54:56";
"d81a470b-48af-4a8a-95d9-00cfbc0542c0";"Light Displacement";"Van 10 september t/m 5 november 2017 is er een solotentoonstelling te zien van de Vlaamse kunstenaar Meggy Rustamova in De Brakke Grond in Amsterdam. Ze laat video's zien waar ze fotografie en audio combineert om verhalen op haar eigen manier te vertellen. Op 9 september om 17:00 uur is de offici�le opening van de tentoonstelling.";"";"Za 9 september 2017 t/m zo 15 oktober 2017 ma-zo: geopend, wo 25 oktober 2017 t/m zo 5 november 2017 ma-zo: geopend.";"Light Displacement";"";"";"Sa 9 September 2017 including Su 15 October 2017 Mo -Su: Open, We 25 October 2017 including Su 5 November 2017 Mo -Su: Open.";"";"2.3.14";"De Brakke Grond";"AMSTERDAM";"Nes 45";"1012 KD";"52,3696240";"4,8932770";"https://www.brakkegrond.nl/agenda/opening-expositie-meggy-rustamova-light-displacement";"https://media.ndtrc.nl/Images/d8/d81a470b-48af-4a8a-95d9-00cfbc0542c0/d6294145-c715-4f7b-a643-617501634e69.jpg,https://media.ndtrc.nl/Images/d8/d81a470b-48af-4a8a-95d9-00cfbc0542c0/b77f7f4f-f59c-4e6a-b970-c9e72fca4348.jpg";"https://media.ndtrc.nl/Images/d8/d81a470b-48af-4a8a-95d9-00cfbc0542c0/b77f7f4f-f59c-4e6a-b970-c9e72fca4348.jpg";"25-10-2017";"05-11-2017";"";"";"2017-07-21 08:50:46";
